x_index,y_index,x_min_m,x_max_m,x_center_m,y_min_m,y_max_m,y_center_m,assert_count,yield_count,total_count,p_assert,masked
0,0,-4.0,-3.75,-3.875,-4.0,-3.75,-3.875,0,0,0,,1
1,0,-3.75,-3.5,-3.625,-4.0,-3.75,-3.875,0,0,0,,1
2,0,-3.5,-3.25,-3.375,-4.0,-3.75,-3.875,0,0,0,,1
3,0,-3.25,-3.0,-3.125,-4.0,-3.75,-3.875,0,0,0,,1
4,0,-3.0,-2.75,-2.875,-4.0,-3.75,-3.875,0,0,0,,1
5,0,-2.75,-2.5,-2.625,-4.0,-3.75,-3.875,0,0,0,,1
6,0,-2.5,-2.25,-2.375,-4.0,-3.75,-3.875,0,0,0,,1
7,0,-2.25,-2.0,-2.125,-4.0,-3.75,-3.875,0,0,0,,1
8,0,-2.0,-1.75,-1.875,-4.0,-3.75,-3.875,0,0,0,,1
9,0,-1.75,-1.5,-1.625,-4.0,-3.75,-3.875,0,0,0,,1
10,0,-1.5,-1.25,-1.375,-4.0,-3.75,-3.875,0,0,0,,1
11,0,-1.25,-1.0,-1.125,-4.0,-3.75,-3.875,0,0,0,,1
12,0,-1.0,-0.75,-0.875,-4.0,-3.75,-3.875,0,0,0,,1
13,0,-0.75,-0.5,-0.625,-4.0,-3.75,-3.875,0,0,0,,1
14,0,-0.5,-0.25,-0.375,-4.0,-3.75,-3.875,0,0,0,,1
15,0,-0.25,0.0,-0.125,-4.0,-3.75,-3.875,0,0,0,,1
16,0,0.0,0.25,0.125,-4.0,-3.75,-3.875,0,0,0,,1
17,0,0.25,0.5,0.375,-4.0,-3.75,-3.875,0,0,0,,1
18,0,0.5,0.75,0.625,-4.0,-3.75,-3.875,0,0,0,,1
19,0,0.75,1.0,0.875,-4.0,-3.75,-3.875,0,0,0,,1
20,0,1.0,1.25,1.125,-4.0,-3.75,-3.875,0,0,0,,1
21,0,1.25,1.5,1.375,-4.0,-3.75,-3.875,0,0,0,,1
22,0,1.5,1.75,1.625,-4.0,-3.75,-3.875,0,0,0,,1
23,0,1.75,2.0,1.875,-4.0,-3.75,-3.875,0,0,0,,1
24,0,2.0,2.25,2.125,-4.0,-3.75,-3.875,0,0,0,,1
25,0,2.25,2.5,2.375,-4.0,-3.75,-3.875,0,0,0,,1
