x_index,y_index,x_min_m,x_max_m,x_center_m,y_min_m,y_max_m,y_center_m,assert_count,yield_count,total_count,p_assert,masked
0,0,-4.0,-3.9,-3.95,-4.0,-3.9,-3.95,0,0,0,,1
1,0,-3.9,-3.8,-3.8499999999999996,-4.0,-3.9,-3.95,0,0,0,,1
2,0,-3.8,-3.7,-3.75,-4.0,-3.9,-3.95,0,0,0,,1
3,0,-3.7,-3.6,-3.6500000000000004,-4.0,-3.9,-3.95,0,0,0,,1
4,0,-3.6,-3.5,-3.55,-4.0,-3.9,-3.95,0,0,0,,1
5,0,-3.5,-3.4,-3.45,-4.0,-3.9,-3.95,0,0,0,,1
6,0,-3.4,-3.3,-3.3499999999999996,-4.0,-3.9,-3.95,0,0,0,,1
7,0,-3.3,-3.2,-3.25,-4.0,-3.9,-3.95,0,0,0,,1
8,0,-3.2,-3.1,-3.1500000000000004,-4.0,-3.9,-3.95,0,0,0,,1
9,0,-3.1,-3.0,-3.05,-4.0,-3.9,-3.95,0,0,0,,1
10,0,-3.0,-2.9,-2.95,-4.0,-3.9,-3.95,0,0,0,,1
11,0,-2.9,-2.8,-2.8499999999999996,-4.0,-3.9,-3.95,0,0,0,,1
12,0,-2.8,-2.7,-2.75,-4.0,-3.9,-3.95,0,0,0,,1
13,0,-2.7,-2.5999999999999996,-2.65,-4.0,-3.9,-3.95,0,0,0,,1
14,0,-2.5999999999999996,-2.5,-2.55,-4.0,-3.9,-3.95,0,0,0,,1
15,0,-2.5,-2.4,-2.45,-4.0,-3.9,-3.95,0,0,0,,1
16,0,-2.4,-2.3,-2.3499999999999996,-4.0,-3.9,-3.95,0,0,0,,1
17,0,-2.3,-2.2,-2.25,-4.0,-3.9,-3.95,0,0,0,,1
18,0,-2.2,-2.0999999999999996,-2.15,-4.0,-3.9,-3.95,0,0,0,,1
19,0,-2.0999999999999996,-2.0,-2.05,-4.0,-3.9,-3.95,0,0,0,,1
20,0,-2.0,-1.9,-1.95,-4.0,-3.9,-3.95,0,0,0,,1
21,0,-1.9,-1.7999999999999998,-1.8499999999999999,-4.0,-3.9,-3.95,0,0,0,,1
22,0,-1.7999999999999998,-1.6999999999999997,-1.7499999999999998,-4.0,-3.9,-3.95,0,0,0,,1
23,0,-1.6999999999999997,-1.5999999999999996,-1.6499999999999997,-4.0,-3.9,-3.95,0,0,0,,1
24,0,-1.5999999999999996,-1.5,-1.5499999999999998,-4.0,-3.9,-3.95,0,0,0,,1
25,0,-1.5,-1.4,-1.45,-4.0,-3.9,-3.95,0,0,0,,1
26,0,-1.4,-1.2999999999999998,-1.3499999999999999,-4.0,-3.9,-3.95,0,0,0,,1
27,0,-1.2999999999999998,-1.1999999999999997,-1.2499999999999998,-4.0,-3.9,-3.95,0,0,0,,1
28,0,-1.1999999999999997,-1.0999999999999996,-1.1499999999999997,-4.0,-3.9,-3.95,0,0,0,,1
29,0,-1.0999999999999996,-1.0,-1.0499999999999998,-4.0,-3.9,-3.95,0,0,0,,1
30,0,-1.0,-0.8999999999999999,-0.95,-4.0,-3.9,-3.95,0,0,0,,1
31,0,-0.8999999999999999,-0.7999999999999998,-0.8499999999999999,-4.0,-3.9,-3.95,0,0,0,,1
32,0,-0.7999999999999998,-0.6999999999999997,-0.7499999999999998,-4.0,-3.9,-3.95,0,0,0,,1
